O Senhor dos Anéis,J.R.R. Tolkien,Uma jornada épica para destruir um anel que pode governar o mundo,49.90,Fantasia Aventura
Dom Casmurro,Machado de Assis,Bentinho narra sua vida e o amor por Capitu em uma história marcada por ciúmes e dúvidas,39.90,Clássico Drama
1984,George Orwell,Em uma distopia totalitária Winston Smith luta contra a opressão do Partido e sua busca pela verdade,29.90,FicçãoCientífica Distopia
O Pequeno Príncipe,Antoine de Saint-Exupéry,A história de um príncipe que viaja por planetas e compartilha lições sobre a vida e o amor,19.90,Infantil Filosofia
Harry Potter e a Pedra Filosofal,J.K. Rowling,Harry descobre que é um bruxo e embarca em uma aventura mágica em Hogwarts,59.90,Fantasia Aventura
A Guerra dos Tronos,George R.R. Martin,Em Westeros nobres famílias disputam o controle do Trono de Ferro enquanto ameaças sombrias surgem,69.90,Fantasia Drama
Cem Anos de Solidão,Gabriel García Márquez,A saga da família Buendía em Macondo marcada por realismo mágico e eventos extraordinários,49.90,Realismo Mágico Clássico
O Hobbit,J.R.R. Tolkien,Bilbo Bolseiro embarca em uma aventura para ajudar um grupo de anões a recuperar seu reino,39.90,Fantasia Aventura
Orgulho e Preconceito,Jane Austen,Elizabeth Bennet lida com questões de classe casamento e autossuficiência na Inglaterra do século XIX,34.90,Romance Clássico
O Código Da Vinci,Dan Brown,Um professor de simbologia e uma criptógrafa investigam mistérios históricos religiosos e artísticos,44.90,Suspense Mistério
A Arte da Guerra,Sun Tzu,Um clássico da estratégia militar e da filosofia sobre como vencer batalhas e guerras,24.90,Filosofia História
Moby Dick,Herman Melville,A obsessão do capitão Ahab em caçar a baleia branca Moby Dick a qualquer custo,59.90,Clássico Aventura
O Apanhador no Campo de Centeio,J.D. Salinger,Holden Caulfield narra sua jornada de autodescoberta e alienação na Nova York dos anos 50,34.90,Drama Clássico
O Sol é Para Todos,Harper Lee,A história de um advogado que defende um homem negro injustamente acusado de estuprar uma mulher,39.90,Drama Clássico
O Senhor das Moscas,William Golding,Um grupo de meninos fica preso em uma ilha e luta pela sobrevivência revelando a natureza humana,29.90,Drama Aventura
Ensaio Sobre a Cegueira,José Saramago,Uma epidemia de cegueira atinge uma cidade e a sociedade entra em colapso,54.90,Drama FicçãoCientífica
A Metamorfose,Franz Kafka,Gregor Samsa acorda transformado em inseto e lida com o isolamento e o abandono familiar,19.90,Filosofia Drama
Frankenstein,Mary Shelley,Victor Frankenstein cria um monstro resultando em uma tragédia de vingança e solidão,34.90,Terror Clássico
Drácula,Bram Stoker,O Conde Drácula busca se estabelecer na Inglaterra enquanto espalha o terror e o mal,44.90,Terror Suspense
O Senhor dos Anéis As Duas Torres,J.R.R. Tolkien,Frodo e seus companheiros enfrentam perigos enquanto tentam destruir o Um Anel,49.90,Fantasia Aventura
O Senhor dos Anéis O Retorno do Rei,J.R.R. Tolkien,A batalha final pelo destino da Terra-média e a destruição do Um Anel,49.90,Fantasia Aventura
As Aventuras de Sherlock Holmes,Arthur Conan Doyle,Sherlock Holmes resolve mistérios complexos com a ajuda de seu fiel amigo Watson,29.90,Mistério Policial
O Lobo da Estepe,Hermann Hesse,Harry Haller luta entre o seu lado humano e seu lado bestial em uma busca pela autocompreensão,39.90,Filosofia Drama
O Velho e o Mar,Ernest Hemingway,A luta de um velho pescador cubano contra um marlim gigante representando a luta da vida,29.90,Drama Clássico
O Caçador de Pipas,Khaled Hosseini,Amizade culpa e redenção são exploradas através da história de dois meninos no Afeganistão,44.90,Drama História
A Menina que Roubava Livros,Markus Zusak,Liesel uma jovem na Alemanha nazista encontra consolo nos livros enquanto a guerra destrói sua vida,49.90,Drama Histórico
A Revolução dos Bichos,George Orwell,Uma alegoria política onde os animais tomam o controle da fazenda mas os resultados são sombrios,24.90,Distopia Filosofia
O Conde de Monte Cristo,Alexandre Dumas,Edmond Dantès busca vingança contra aqueles que o traíram levando a uma trama de intrigas e redenção,59.90,Aventura Suspense
O Morro dos Ventos Uivantes,Emily Brontë,A história de um amor intenso e destrutivo entre Heathcliff e Catherine marcada por vingança e sofrimento,39.90,Romance Drama
Jane Eyre,Charlotte Brontë,Jane Eyre enfrenta adversidades em sua vida e encontra o amor e a liberdade ao lado do misterioso Mr. Rochester,34.90,Romance Clássico
As Crônicas de Nárnia,C.S. Lewis,Quatro irmãos descobrem um mundo mágico onde vivem aventuras e enfrentam forças do mal,54.90,Fantasia Infantil
O Jardim Secreto,Frances Hodgson Burnett,Mary Lennox encontra um jardim secreto que transforma sua vida e a de seus amigos,29.90,Infantil Drama
A Insustentável Leveza do Ser,Milan Kundera,A história de amor e política na Checoslováquia abordando as escolhas e consequências na vida de seus protagonistas,44.90,Filosofia Romance
O Corvo,Edgar Allan Poe,A história de um homem em luto que é visitado por um corvo que fala trazendo-lhe um presságio de desespero,19.90,Terror Poético
O Mundo de Sofia,Jostein Gaarder,Uma jovem chamada Sofia explora questões filosóficas profundas em uma carta misteriosa,34.90,Filosofia Suspense
O Canto do Cisne,Isabel Allende,Uma narrativa rica e mágica que mistura história drama e o poder da imaginação,39.90,Realismo Mágico Drama
A Casa dos Espíritos,Isabel Allende,Seguindo a vida de uma família ao longo de várias gerações misturando política e realismo mágico,44.90,Realismo Mágico História
A Culpa é das Estrelas,John Green,A história de dois jovens que se apaixonam enquanto enfrentam os desafios do câncer,39.90,Drama Romance
